gene_id,Groups,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FJ,TCGA.BH.A1FM,TCGA.BH.A204,TCGA.BH.A1F0,TCGA.BH.A1F6,TCGA.BH.A1FB,TCGA.BH.A1FC,TCGA.BH.A203,TCGA.BH.A208,TCGA.BH.A209
,,1,1,1,1,1,1,2,2,2,2,2,2,2
Clinical,,Early,Early,Early,Early,Early,Late,Early,Late,Late,Late,Early,Early,Late
Subtype,,LumB,LumB,LumB,LumB,LumB,LumB,Basal,Basal,LumA,Basal,Her2,Her2,LumB
ENSG00000188153.11,na,1.007520539,4.2772628,2.053495081,1.271688773,1.401555667,0.578338234,1.458993468,0.992031768,3.352588439,0.840065167,2.381727097,1.325790557,0.180517716
ENSG00000156675.14,na,4.924656395,3.502270154,6.361065444,4.065210387,3.95717928,5.931337957,3.490171865,2.638361006,3.447548807,3.944821197,5.838585034,1.939245158,3.944015536
ENSG00000122176.10,na,3.632016916,5.198254856,7.017650246,6.496561054,3.947502503,3.221632209,4.700218467,3.876855185,5.938486158,3.032373516,4.601376901,6.464737616,4.734641061
ENSG00000258414.1,na,0.264550118,0.100851257,1.779563397,2.170185199,0.11191699,0.058946717,0.040579088,0,2.233166463,0.029298618,0.974536503,0.906338041,2.125324942
ENSG00000238117.1,na,0.332720539,2.224768183,2.316808662,5.299547722,0.233189385,0.057016353,0,0.125696372,0.604330316,0,2.639620436,1.411416777,2.130210954
ENSG00000175445.13,na,3.572353834,6.326559041,2.340218341,0.998216143,1.52512967,1.942846935,4.211497847,5.191408751,2.641226131,3.749438443,2.896156216,3.02401612,2.200899567
ENSG00000237541.3,na,1.145906201,2.771713518,1.532271918,2.552351806,2.792346432,3.126800374,6.515743812,4.547060867,6.919613512,4.86961703,3.957667536,3.921507489,5.320074182
ENSG00000168306.11,na,2.352064896,2.9017808,2.038881223,4.526472095,5.844186929,1.774821478,0.70012914,0.689187917,1.818949522,0.205412217,3.903577895,1.099312074,3.006314749
ENSG00000162366.6,na,0.611574935,4.339759459,4.85810629,4.294768348,2.42423023,0.108998835,4.929006111,7.133523065,3.798095154,4.237043249,4.176826223,4.390771465,4.461364135
ENSG00000229453.2,na,0.290447271,2.647392396,1.007986708,1.650233815,3.030871277,0.909241909,0.306937718,0.449180602,3.109049675,0.048376685,7.514202967,2.111564382,1.699747442
ENSG00000135111.13,na,5.603190971,2.845091473,4.349194969,6.000246732,2.280781085,3.591476974,2.665112154,2.071972544,5.093854638,3.155230381,3.312576788,2.656686676,3.941269997
ENSG00000146648.14,na,1.6315341,1.874778916,0.742262037,0.335518755,1.115442045,0.66804758,2.807225445,3.284339854,3.010164138,2.74481313,1.193890032,2.917126235,0.746948095
ENSG00000181617.5,na,1.428230669,0,0,0.035164781,0,0,8.774327485,1.207807674,5.406656004,7.9256695,1.276428176,1.893052319,4.29769225
ENSG00000161055.3,na,0.750834748,0.17162374,2.742528649,4.429744399,0.212037636,0,0,0.03897775,0.772666358,0.099749376,0.329072135,3.440985872,4.416540209
ENSG00000135218.16,na,3.683165625,5.222566351,1.133757016,0.635657467,2.161019041,1.3759896,4.285238914,1.911622478,1.948309345,0.779885559,3.193125617,1.170866322,4.641295
ENSG00000147813.14,na,5.217078214,0.511158766,2.3960645,3.153260943,2.385288563,1.186614493,3.440906479,2.600281437,3.148523634,4.42993612,0.960006792,1.116046116,1.426910917
ENSG00000229953.1,na,1.697129322,0.255637155,3.606568185,3.467215539,2.271597948,0.057421935,0.53045286,0.384767378,1.55124678,0.355742232,0.11330018,0.085154029,0.173823925
ENSG00000124302.11,na,2.449196444,0.39522883,1.519865214,3.147511416,0.3810934,1.225208762,0.08220225,0.54148456,3.030310859,0.007139393,1.863083574,0.681697148,0.508432253
ENSG00000104783.10,na,0.720096221,1.068091337,2.945750525,3.361447414,0.520436802,0.452151415,4.630697386,5.241874877,3.022118321,3.887633583,2.190103102,3.893204367,1.909603183
