gene_id,Groups,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
 , ,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Late,Late,Late,Late,Late,Late,Late,Late
ENSG00000227766.1,na,0.117775778,0.175711236,4.017078945,1.741310781,0.248951575,0.113965747,2.27236966,2.197232597,2.970165273,0.594135129,2.620293517,2.898063312,1.466578763,2.626554945,1.28777249,2.480623544,1.804895147,0.089006714,0.072666583,1.37974534,2.352292398,2.577892057,3.396502701,0.127352988,3.244220073
ENSG00000241244.1,na,0.29095887,0.347325404,2.498381847,0.120776271,0.050106076,0.147915784,2.758479265,5.239560702,0.535026396,0.210993916,0.594933864,1.258772915,2.493929058,0,0,0.083492986,0.682376688,1.190093432,0,0,2.531254765,2.605721601,1.328707795,1.118881994,5.078641288
ENSG00000211938.2,na,0.394283061,0.504615069,4.627660471,0.054334613,0.044138426,0.211865954,2.586131427,2.603286426,2.417224026,0,0.534739101,1.888417731,2.967861482,0.217092177,0.046783251,1.448046821,1.545883865,1.600710328,0.03401721,0,2.081603419,4.854109873,3.034887161,0.649220821,4.584405969
ENSG00000182795.12,na,3.522480381,1.250464975,3.9845028,0.238752654,2.352127483,3.928326199,2.994120807,2.405130635,1.387721008,0.155238674,1.952713319,0.636341027,3.540434242,3.840540119,4.179040897,5.462119299,2.359493813,3.027746141,0.611363008,2.321978154,3.764527116,0.441208606,2.50173932,1.984208048,4.846042505
ENSG00000127585.10,na,2.399789026,0.642485056,1.52681451,4.789531647,2.650288237,4.005413468,1.30790131,2.620669609,2.839243033,2.503609597,4.53568003,2.041870356,2.146510618,4.586099884,1.387672277,1.358343155,0.679648127,3.905749125,3.561914025,2.52263417,4.116346714,2.833885841,3.284758716,5.352048964,0.886059089
ENSG00000169715.13,na,1.789470629,5.362364827,3.934381225,2.488560397,4.269479633,6.359420989,4.646568191,2.661634548,2.783139757,1.761624864,6.321887964,2.963450762,3.653082956,4.779116001,1.607735276,5.869364724,4.971531493,2.311656305,5.101948853,2.72153743,6.408571538,7.139784637,4.94160024,4.418472782,4.353361088
ENSG00000162482.4,na,3.678678536,0.192705438,0.529284326,5.351906367,0.936614231,4.321192728,2.061690061,2.236365786,1.108304022,3.018235306,6.954623886,3.127665114,0.579288069,5.494834677,1.539151823,1.912949596,3.588480888,3.694725884,4.417842124,3.593584719,2.110838372,0.389454051,3.923549475,4.806960009,2.933721775
ENSG00000179388.8,na,1.583636163,1.137535292,3.561713341,3.683296781,3.852419819,3.654121152,4.468386568,1.386029435,5.591654257,1.205296785,1.625875211,3.371437406,1.7875519,0.879656803,0.343193297,1.530066382,3.903667269,3.095060095,1.733129632,1.440947185,2.601196697,1.265053707,5.180741017,1.042775846,0.934351557
ENSG00000211972.2,na,0.808740713,0.995648007,3.720057357,0.107419334,0,0.131692118,2.522904359,3.692521119,1.65576089,0,1.20101798,1.339546355,3.970744323,0.177373668,0,0.560411026,1.769437765,1.939788604,0,0.086919965,3.361506845,7.012467994,2.477621025,0.192924428,5.114392306
ENSG00000244402.3,na,3.061313702,0.769549002,0,1.165692953,0,0.984308303,2.682718288,2.268286904,4.775750095,2.056567591,1.96002356,2.279484008,0,3.798383655,0,1.001920201,2.585412703,4.762865603,1.201630641,1.240109765,0,0,4.037165968,0.556564221,0.192134296
