gene_id,Groups,TCGA.AC.A2FM,TCGA.BH.A1EN,TCGA.BH.A1EO,TCGA.BH.A1ET,TCGA.BH.A1EV,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FG,TCGA.BH.A1FJ,TCGA.BH.A1FM,TCGA.BH.A1FN,TCGA.BH.A204,TCGA.BH.A1F0,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A208,TCGA.BH.A209
,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
,,Early,Early,Late,Late,Early,Early,Early,Late,Early,Early,Early,Late,Early,Late,Late,Early,Late
,,LumB,Her2,LumB,LumA,Her2,LumB,LumB,LumA,LumB,LumB,LumB,LumB,Basal,Basal,Basal,Her2,LumB
ENSG00000100079.6>LGALS2,na,0.602384462,1.136292436,1.16927103,0.370227115,0.472636097,0.718401721,0.33671505,0.914891714,0.245532995,0.260281726,0.574920137,0.184339497,3.209561806,2.482557408,0.990909667,0.861049031,2.957029831
ENSG00000210195.2>MT-TT,na,0,0.280640532,0.487249541,1.462229183,1.342402638,3.738430224,2.572133521,3.11049899,0,1.702614846,1.241798409,0.552216929,3.660236999,2.475976134,1.503469754,0.551419335,2.644326985
ENSG00000159166.12>LAD1,na,1.763936488,6.859608137,4.526325351,0.579714053,4.458075625,3.818356877,2.652351935,2.023962515,5.711630495,1.707792719,3.166752741,2.533313312,5.22351664,3.844254872,2.957577298,5.059932662,5.564139916
ENSG00000041353.8>RAB27B,na,2.26219593,5.03681054,5.263800226,5.162180659,2.507657689,4.000163865,3.359767524,4.432991935,5.00360924,2.960951661,2.264862855,2.808934501,0.669587235,1.951576742,0.813812374,2.785603447,2.233095374
ENSG00000169562.9>GJB1,na,0.092825503,1.562216222,0.08314082,1.776880019,4.389689033,0.115938814,2.041392003,2.275190735,0.649490018,0.464197985,0.403217127,0.058403916,0.040203071,0.058613474,0.009740391,2.570968595,1.736652792
ENSG00000173335.4>CST9,na,1.293551209,0,0,0.037680751,0,0,2.601052662,5.1209993,0.254580979,3.403530083,0.020266201,4.800795117,0,0,0,0,0.199198066
ENSG00000183569.16>SERHL2,na,3.393222147,5.960968044,0.499364597,1.096733029,1.426912583,2.618891685,1.190774358,0.965625184,3.838647439,0.263601042,0.69129047,0.301886502,1.002702228,0.504723159,0.318332582,3.374634566,0.447541607
ENSG00000116667.11>C1orf21,na,1.614646344,3.276113025,4.107465948,3.662206901,3.887337796,3.216972043,1.938615634,4.040541885,4.928764722,1.382653086,3.403890252,0.725665025,3.011594823,1.632831087,2.356391537,1.957751299,2.301359649
ENSG00000127951.5>FGL2,na,1.921687013,1.932512621,3.789301274,4.173529309,2.115768572,3.03532946,2.530125711,2.427681064,1.741319376,1.69546656,2.154262133,2.072007695,5.303635033,3.793898071,3.666880947,2.151568709,4.293020255
ENSG00000134028.13>ADAMDEC1,na,0.337997374,0.294797393,1.691388804,0.428244917,0.105972632,0.462662268,2.442562157,0.524602559,0.925490985,1.090380333,1.587157677,0.404931395,4.515571536,3.846961452,3.468178825,0.682499134,4.535874316
ENSG00000088882.7>CPXM1,na,2.204738772,1.737860471,4.247888994,3.364385437,2.187080587,2.759484629,3.08438322,1.618098038,1.88920077,2.313570984,3.468472916,0.532315216,4.86604814,3.062558111,2.874280851,5.8841953,3.101831418
ENSG00000171954.11>CYP4F22,na,2.056019125,0.038156821,0.817384164,0.173086225,1.739178072,0.780277049,0.312461546,1.349455124,4.889404308,0.079002298,2.530707753,3.634548894,0.067328231,0.254323563,0.103589946,0.057515388,0.116238993
ENSG00000172986.11>GXYLT2,na,1.06910319,2.480229366,4.939078323,3.560257705,2.971049983,4.134911439,2.99605964,1.75807669,1.564386568,3.541177291,2.645526045,1.820477562,2.147407175,1.821110026,0.749551522,5.029593547,1.039091968
ENSG00000196917.5>HCAR1,na,5.013946196,1.877810504,2.017085905,3.817044886,2.812838165,2.645275196,4.177160622,3.477915718,4.151720564,3.145689285,1.195032305,4.499285727,0.99847003,0.352723487,0.568201136,0.602873213,3.781224356
ENSG00000187840.4>EIF4EBP1,na,5.286177367,7.706288686,5.673651935,4.566414882,5.299511993,4.21950049,7.480478322,6.506289992,4.553200497,5.480538588,5.552262855,6.850411891,5.390180417,6.069020842,7.108083524,5.434632731,6.880386137
ENSG00000240972.1>MIF,na,5.183615271,4.585147294,3.9840924,1.919371479,5.518214778,3.183138111,4.657598689,5.584707972,4.53455326,3.55612764,5.233236021,2.496725436,3.241400469,6.010491515,4.516335865,2.691058686,2.907150816
ENSG00000112559.12>MDFI,na,4.277526567,5.856412082,1.667018656,1.125225851,4.46758555,2.205107845,1.002094274,2.192735712,3.387535329,2.184313746,3.786647936,0.232480691,2.845446805,2.103204335,1.589936072,3.269062967,0.652180687
ENSG00000211747.3>TRBV20-1,na,0.400187179,0.270104477,1.959488671,1.956667838,0.218611521,0.255894967,0.813609766,0.414502836,0.266501323,0,0.726285373,0.069952903,2.667292999,1.362176012,2.987102611,0.739456706,2.809301807
ENSG00000007908.14>SELE,na,0.605891451,0.56473155,1.642702355,2.158326884,0.198339179,3.384467011,1.310664792,0.591052065,0.732015477,0.30678638,0.041904317,1.468691719,2.68163526,1.401761367,1.834238162,0.989189076,2.835696315
ENSG00000157456.6>CCNB2,na,3.147290515,2.64782867,2.057258829,1.438741723,1.520867364,3.446407819,4.038268221,2.194438432,4.275968197,4.054926905,3.587783939,3.87618382,3.661918895,4.010051304,4.685380103,2.005951013,4.680151241
ENSG00000165949.11>IFI27,na,3.12834574,2.316553922,3.782037404,2.983296872,5.30196604,3.736746262,5.442003762,5.089812109,5.404656338,2.66121142,5.754855616,2.004773156,6.175634107,5.691147462,6.046601188,4.510070249,7.329945179
ENSG00000114737.14>CISH,na,5.249901073,2.077760964,1.870199383,4.5908131,3.946536414,4.354425291,4.782335606,2.899102153,2.760264924,3.817692088,3.070627907,3.53112668,2.063974816,2.289410013,1.799910746,1.973437509,4.243930161
ENSG00000180596.7>HIST1H2BC,na,1.062367662,2.482384465,0.818092822,2.704557697,2.196990188,3.333730025,4.066697641,3.598891051,4.770288961,3.846334952,0.672732088,2.01380561,2.001409991,2.029820046,2.250339053,1.262992006,0.998202535
ENSG00000162772.15>ATF3,na,3.352150343,1.567787812,3.33868045,2.412050375,1.918639796,5.167445959,4.362289604,2.546696695,1.700601828,1.78184011,5.452182055,2.405803439,4.853644523,4.290919263,3.592094077,3.183369696,3.407774895
ENSG00000132561.12>MATN2,na,2.42120014,0.757825589,3.215989468,1.728404966,3.777861437,2.472309628,4.352318632,1.89045724,0.506902984,1.01868677,2.535538451,0.939206202,2.591818093,1.030420625,0.603842606,2.086924386,5.288739172
ENSG00000115380.17>EFEMP1,na,2.795781265,3.640177363,5.246823898,3.897759187,3.038137603,5.407201995,3.124686806,6.091065645,2.063296545,7.01028989,3.969005179,3.712977413,6.083447177,4.608934409,1.447478642,5.555359498,5.73059738
ENSG00000137975.7>CLCA2,na,0.072297504,0.317158575,0.312447442,0.141526222,3.261426846,5.033737353,0.064036799,0.0291107,3.122083056,0.087995764,0.257443796,0.003288334,0.388516336,0.264199894,0.004850252,3.412690292,0.090531936
ENSG00000131171.11>SH3BGRL,na,4.293996079,4.254804715,8.317596337,7.277389943,8.051034887,6.669274522,6.985614704,8.989059762,8.485925647,7.393595058,7.315200605,4.652367704,6.091434713,5.016298668,5.023407758,6.514448927,5.549818158
